time,data
1.7624507315072205e+18,Error Code 0: No fault - Motor operating normally
1.7624507315574236e+18,Error Code 0: No fault - Motor operating normally
1.7624507316076193e+18,Error Code 0: No fault - Motor operating normally
1.7624507316567644e+18,Error Code 0: No fault - Motor operating normally
1.7624507317063296e+18,Error Code 0: No fault - Motor operating normally
1.76245073175616e+18,Error Code 0: No fault - Motor operating normally
1.762450731806228e+18,Error Code 0: No fault - Motor operating normally
1.7624507318562593e+18,Error Code 0: No fault - Motor operating normally
1.7624507319084334e+18,Error Code 0: No fault - Motor operating normally
1.7624507319571046e+18,Error Code 0: No fault - Motor operating normally
1.7624507320072115e+18,Error Code 0: No fault - Motor operating normally
1.7624507320559757e+18,Error Code 0: No fault - Motor operating normally
1.7624507321063834e+18,Error Code 0: No fault - Motor operating normally
1.7624507321573635e+18,Error Code 0: No fault - Motor operating normally
1.7624507322069466e+18,Error Code 0: No fault - Motor operating normally
1.7624507322574582e+18,Error Code 0: No fault - Motor operating normally
1.7624507323072312e+18,Error Code 0: No fault - Motor operating normally
1.7624507323564636e+18,Error Code 0: No fault - Motor operating normally
1.7624507324065004e+18,Error Code 0: No fault - Motor operating normally
1.762450732457615e+18,Error Code 0: No fault - Motor operating normally
1.7624507325062874e+18,Error Code 0: No fault - Motor operating normally
1.7624507325566866e+18,Error Code 0: No fault - Motor operating normally
1.7624507326075428e+18,Error Code 0: No fault - Motor operating normally
1.7624507326574446e+18,Error Code 0: No fault - Motor operating normally
1.7624507327101338e+18,Error Code 0: No fault - Motor operating normally
1.7624507327562854e+18,Error Code 0: No fault - Motor operating normally
1.762450732806413e+18,Error Code 0: No fault - Motor operating normally
1.7624507328569126e+18,Error Code 0: No fault - Motor operating normally
1.7624507329067581e+18,Error Code 0: No fault - Motor operating normally
1.7624507329568105e+18,Error Code 0: No fault - Motor operating normally
1.762450733006686e+18,Error Code 0: No fault - Motor operating normally
1.762450733056366e+18,Error Code 0: No fault - Motor operating normally
1.7624507331063217e+18,Error Code 0: No fault - Motor operating normally
1.7624507331571154e+18,Error Code 0: No fault - Motor operating normally
1.7624507332062292e+18,Error Code 0: No fault - Motor operating normally
1.762450733256838e+18,Error Code 0: No fault - Motor operating normally
1.7624507333068856e+18,Error Code 0: No fault - Motor operating normally
1.7624507333569316e+18,Error Code 0: No fault - Motor operating normally
