time,data
1.7624507312587126e+18,Error Code 0: No fault - Motor operating normally
1.7624507312823885e+18,Error Code 0: No fault - Motor operating normally
1.7624507313048346e+18,Error Code 0: No fault - Motor operating normally
1.7624507313546836e+18,Error Code 0: No fault - Motor operating normally
1.762450731410364e+18,Error Code 0: No fault - Motor operating normally
1.7624507314565112e+18,Error Code 0: No fault - Motor operating normally
1.7624507315060232e+18,Error Code 0: No fault - Motor operating normally
1.7624507315565514e+18,Error Code 0: No fault - Motor operating normally
1.7624507316057915e+18,Error Code 0: No fault - Motor operating normally
1.7624507316558705e+18,Error Code 0: No fault - Motor operating normally
1.76245073170585e+18,Error Code 0: No fault - Motor operating normally
1.7624507317553446e+18,Error Code 0: No fault - Motor operating normally
1.7624507318058132e+18,Error Code 0: No fault - Motor operating normally
1.7624507318560072e+18,Error Code 0: No fault - Motor operating normally
1.7624507319064148e+18,Error Code 0: No fault - Motor operating normally
1.7624507319562522e+18,Error Code 0: No fault - Motor operating normally
1.7624507320059228e+18,Error Code 0: No fault - Motor operating normally
1.7624507320549962e+18,Error Code 0: No fault - Motor operating normally
1.7624507321053796e+18,Error Code 0: No fault - Motor operating normally
1.7624507321565632e+18,Error Code 0: No fault - Motor operating normally
1.7624507322061565e+18,Error Code 0: No fault - Motor operating normally
1.7624507322560724e+18,Error Code 0: No fault - Motor operating normally
1.762450732305566e+18,Error Code 0: No fault - Motor operating normally
1.762450732355801e+18,Error Code 0: No fault - Motor operating normally
1.7624507324055798e+18,Error Code 0: No fault - Motor operating normally
1.762450732455889e+18,Error Code 0: No fault - Motor operating normally
1.762450732506375e+18,Error Code 0: No fault - Motor operating normally
1.7624507325560225e+18,Error Code 0: No fault - Motor operating normally
1.7624507326058762e+18,Error Code 0: No fault - Motor operating normally
1.762450732655836e+18,Error Code 0: No fault - Motor operating normally
1.7624507327052078e+18,Error Code 0: No fault - Motor operating normally
1.7624507327553388e+18,Error Code 0: No fault - Motor operating normally
1.7624507328055017e+18,Error Code 0: No fault - Motor operating normally
1.762450732856965e+18,Error Code 0: No fault - Motor operating normally
1.76245073290681e+18,Error Code 0: No fault - Motor operating normally
1.7624507329568916e+18,Error Code 0: No fault - Motor operating normally
1.7624507330059062e+18,Error Code 0: No fault - Motor operating normally
1.7624507330555725e+18,Error Code 0: No fault - Motor operating normally
1.7624507331062474e+18,Error Code 0: No fault - Motor operating normally
1.7624507331555855e+18,Error Code 0: No fault - Motor operating normally
1.7624507332057656e+18,Error Code 0: No fault - Motor operating normally
1.762450733255733e+18,Error Code 0: No fault - Motor operating normally
1.7624507333060027e+18,Error Code 0: No fault - Motor operating normally
1.762450733356852e+18,Error Code 0: No fault - Motor operating normally
1.7624507334071875e+18,Error Code 0: No fault - Motor operating normally
1.762450733456834e+18,Error Code 0: No fault - Motor operating normally
1.762450733505326e+18,Error Code 0: No fault - Motor operating normally
1.7624507335551828e+18,Error Code 0: No fault - Motor operating normally
1.7624507336072586e+18,Error Code 0: No fault - Motor operating normally
1.7624507336556262e+18,Error Code 0: No fault - Motor operating normally
1.7624507337059484e+18,Error Code 0: No fault - Motor operating normally
1.762450733755923e+18,Error Code 0: No fault - Motor operating normally
1.7624507338052613e+18,Error Code 0: No fault - Motor operating normally
1.7624507338552686e+18,Error Code 0: No fault - Motor operating normally
1.7624507339053494e+18,Error Code 0: No fault - Motor operating normally
1.7624507339571392e+18,Error Code 0: No fault - Motor operating normally
1.76245073400561e+18,Error Code 0: No fault - Motor operating normally
1.7624507340551762e+18,Error Code 0: No fault - Motor operating normally
1.762450734106341e+18,Error Code 0: No fault - Motor operating normally
1.7624507341552246e+18,Error Code 0: No fault - Motor operating normally
1.7624507342050542e+18,Error Code 0: No fault - Motor operating normally
1.762450734255533e+18,Error Code 0: No fault - Motor operating normally
1.7624507343065708e+18,Error Code 0: No fault - Motor operating normally
1.762450734355254e+18,Error Code 0: No fault - Motor operating normally
1.762450734404799e+18,Error Code 0: No fault - Motor operating normally
1.762450734454986e+18,Error Code 0: No fault - Motor operating normally
1.762450734505085e+18,Error Code 0: No fault - Motor operating normally
1.7624507345555282e+18,Error Code 0: No fault - Motor operating normally
1.762450734606028e+18,Error Code 0: No fault - Motor operating normally
1.7624507346564111e+18,Error Code 0: No fault - Motor operating normally
1.7624507347057682e+18,Error Code 0: No fault - Motor operating normally
1.7624507347562132e+18,Error Code 0: No fault - Motor operating normally
1.7624507348047048e+18,Error Code 0: No fault - Motor operating normally
1.76245073485539e+18,Error Code 0: No fault - Motor operating normally
1.7624507349067384e+18,Error Code 0: No fault - Motor operating normally
1.762450734956948e+18,Error Code 0: No fault - Motor operating normally
1.7624507350059607e+18,Error Code 0: No fault - Motor operating normally
1.762450735055893e+18,Error Code 0: No fault - Motor operating normally
1.7624507351060918e+18,Error Code 0: No fault - Motor operating normally
1.7624507351552835e+18,Error Code 0: No fault - Motor operating normally
1.7624507352053302e+18,Error Code 0: No fault - Motor operating normally
1.7624507352570514e+18,Error Code 0: No fault - Motor operating normally
1.7624507353072684e+18,Error Code 0: No fault - Motor operating normally
1.7624507353563192e+18,Error Code 0: No fault - Motor operating normally
1.7624507354060498e+18,Error Code 0: No fault - Motor operating normally
1.7624507354562127e+18,Error Code 0: No fault - Motor operating normally
1.7624507355058941e+18,Error Code 0: No fault - Motor operating normally
1.7624507355558715e+18,Error Code 0: No fault - Motor operating normally
1.762450735606455e+18,Error Code 0: No fault - Motor operating normally
