time,data
1.7624507327159442e+18,Error Code 0: No fault - Motor operating normally
1.7624507327659927e+18,Error Code 0: No fault - Motor operating normally
1.7624507328161692e+18,Error Code 0: No fault - Motor operating normally
1.7624507328657475e+18,Error Code 0: No fault - Motor operating normally
1.7624507329162957e+18,Error Code 0: No fault - Motor operating normally
1.762450732966018e+18,Error Code 0: No fault - Motor operating normally
1.7624507330164582e+18,Error Code 0: No fault - Motor operating normally
1.762450733066641e+18,Error Code 0: No fault - Motor operating normally
1.7624507331160768e+18,Error Code 0: No fault - Motor operating normally
1.7624507331663043e+18,Error Code 0: No fault - Motor operating normally
1.762450733216216e+18,Error Code 0: No fault - Motor operating normally
1.7624507332662646e+18,Error Code 0: No fault - Motor operating normally
1.7624507333161244e+18,Error Code 0: No fault - Motor operating normally
1.7624507333657347e+18,Error Code 0: No fault - Motor operating normally
1.7624507334157957e+18,Error Code 0: No fault - Motor operating normally
1.7624507334661514e+18,Error Code 0: No fault - Motor operating normally
1.7624507335165325e+18,Error Code 0: No fault - Motor operating normally
1.76245073356657e+18,Error Code 0: No fault - Motor operating normally
1.762450733616106e+18,Error Code 0: No fault - Motor operating normally
1.762450733666082e+18,Error Code 0: No fault - Motor operating normally
1.7624507337165847e+18,Error Code 0: No fault - Motor operating normally
1.7624507337660498e+18,Error Code 0: No fault - Motor operating normally
1.7624507338163914e+18,Error Code 0: No fault - Motor operating normally
1.7624507338661988e+18,Error Code 0: No fault - Motor operating normally
1.762450733916322e+18,Error Code 0: No fault - Motor operating normally
1.7624507339657006e+18,Error Code 0: No fault - Motor operating normally
1.7624507340161147e+18,Error Code 0: No fault - Motor operating normally
1.7624507340660324e+18,Error Code 0: No fault - Motor operating normally
1.7624507341158592e+18,Error Code 0: No fault - Motor operating normally
1.762450734166188e+18,Error Code 0: No fault - Motor operating normally
1.7624507342165407e+18,Error Code 0: No fault - Motor operating normally
1.76245073426605e+18,Error Code 0: No fault - Motor operating normally
1.7624507343157627e+18,Error Code 0: No fault - Motor operating normally
1.7624507343658358e+18,Error Code 0: No fault - Motor operating normally
1.7624507344157005e+18,Error Code 0: No fault - Motor operating normally
1.762450734466314e+18,Error Code 0: No fault - Motor operating normally
1.762450734515988e+18,Error Code 0: No fault - Motor operating normally
1.7624507345661798e+18,Error Code 0: No fault - Motor operating normally
1.762450734615882e+18,Error Code 0: No fault - Motor operating normally
1.7624507346658168e+18,Error Code 0: No fault - Motor operating normally
1.7624507347155512e+18,Error Code 0: No fault - Motor operating normally
1.762450734765819e+18,Error Code 0: No fault - Motor operating normally
1.7624507348158177e+18,Error Code 0: No fault - Motor operating normally
1.7624507348660209e+18,Error Code 0: No fault - Motor operating normally
1.7624507349165046e+18,Error Code 0: No fault - Motor operating normally
1.7624507349658755e+18,Error Code 0: No fault - Motor operating normally
1.7624507350161856e+18,Error Code 0: No fault - Motor operating normally
1.762450735066191e+18,Error Code 0: No fault - Motor operating normally
1.7624507351167322e+18,Error Code 0: No fault - Motor operating normally
1.762450735166013e+18,Error Code 0: No fault - Motor operating normally
1.7624507352163779e+18,Error Code 0: No fault - Motor operating normally
1.7624507352659482e+18,Error Code 0: No fault - Motor operating normally
1.7624507353159444e+18,Error Code 0: No fault - Motor operating normally
1.76245073536591e+18,Error Code 0: No fault - Motor operating normally
1.7624507354154957e+18,Error Code 0: No fault - Motor operating normally
1.7624507354658033e+18,Error Code 0: No fault - Motor operating normally
1.7624507355160486e+18,Error Code 0: No fault - Motor operating normally
1.7624507355658104e+18,Error Code 0: No fault - Motor operating normally
1.7624507356157496e+18,Error Code 0: No fault - Motor operating normally
1.7624507356659868e+18,Error Code 0: No fault - Motor operating normally
1.7624507357160225e+18,Error Code 0: No fault - Motor operating normally
1.7624507357659185e+18,Error Code 0: No fault - Motor operating normally
1.7624507358157527e+18,Error Code 0: No fault - Motor operating normally
